database_name,question_id,question,difficulty,sql_query,template
drawSQL-mysql-export-2026-01-13_cachet,11,Who are our most active users?,MEDIUM,SELECT * FROM users ORDER BY created_at DESC LIMIT 10;,SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;
drawSQL-mysql-export-2026-01-13_cachet,12,How many activity log entries did we have last month?,MEDIUM,"SELECT COUNT(*) FROM actions
WHERE created_at >= date('now', '-1 month');","SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);"
drawSQL-mysql-export-2026-01-13_cachet,13,Break it down by type or category—how many activity log entries in each?,MEDIUM,"SELECT class_name, COUNT(*) as count FROM actions GROUP BY class_name;","SELECT col_name, COUNT(*) as count FROM table_name GROUP BY col_name;"
drawSQL-mysql-export-2026-01-13_cachet,14,Are there any activity log entries that don't have a match somewhere else?,MEDIUM,SELECT * FROM actions LIMIT 10;,SELECT * FROM table_name LIMIT num;
drawSQL-mysql-export-2026-01-13_cachet,15,"For each group, what's in the top 3?",MEDIUM,"SELECT * FROM (
  SELECT *, ROW_NUMBER() OVER (PARTITION BY group_id ORDER BY id DESC) as rn
  FROM components
) WHERE rn <= 3;","SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY col_name ORDER BY id DESC) as column_alias0 FROM table_name ) WHERE column_alias0 <= num;"
drawSQL-mysql-export-2026-01-13_cachet,16,Show me each component group along with its related details.,MEDIUM,"SELECT t.*, c.*
FROM component_groups t
LEFT JOIN components c ON c.group_id = t.id;","SELECT table_alias0.*, table_alias1.* FROM table_name table_alias0 LEFT JOIN table_name table_alias1 ON table_alias1.col_name = table_alias0.id;"
drawSQL-mysql-export-2026-01-13_cachet,17,I need a report that pulls together info from several different places.,HARD,"SELECT * FROM incident_components
LEFT JOIN incidents ON incident_components.incident_id = incidents.id;",SELECT * FROM table_name LEFT JOIN table_name ON table_name.col_name = table_name.id;
drawSQL-mysql-export-2026-01-13_cachet,18,"Can you do a multi-step analysis: group things, filter, then rank the results?",HARD,"WITH grouped AS (
  SELECT class_name, COUNT(*) as cnt FROM actions GROUP BY class_name
)
SELECT * FROM grouped WHERE cnt > 1 ORDER BY cnt DESC;","WITH grouped AS ( SELECT col_name, COUNT(*) as cnt FROM table_name GROUP BY col_name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;"
drawSQL-mysql-export-2026-01-13_cachet,19,Who or what is the best in each group?,HARD,"SELECT * FROM (
  SELECT *, ROW_NUMBER() OVER (PARTITION BY class_name ORDER BY id DESC) as rn
  FROM actions
) WHERE rn = 1;","SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY col_name ORDER BY id DESC) as column_alias0 FROM table_name ) WHERE column_alias0 = num;"
drawSQL-mysql-export-2026-01-13_cachet,20,Which ones are above average compared to others in their group?,HARD,"SELECT * FROM meta t1
WHERE value > (
  SELECT AVG(value) FROM meta t2 WHERE t2.meta_type = t1.meta_type
);",SELECT * FROM table_name table_alias0 WHERE value > ( SELECT AVG(value) FROM table_name table_alias1 WHERE table_alias1.col_name = table_alias0.col_name );
drawSQL-mysql-export-2026-01-13_comfy,1,How many people signed up last month?,EASY,"SELECT COUNT(*) FROM users
WHERE created_at >= date('now', '-1 month');","SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);"
drawSQL-mysql-export-2026-01-13_comfy,2,How many activity log entries do we have?,EASY,SELECT COUNT(*) FROM actions;,SELECT COUNT(*) FROM table_name;
drawSQL-mysql-export-2026-01-13_comfy,3,Show me all of our activity log entries.,EASY,SELECT * FROM actions;,SELECT * FROM table_name;
drawSQL-mysql-export-2026-01-13_comfy,4,Can you look up a specific activity log entry?,EASY,SELECT * FROM actions WHERE id = ?;,SELECT * FROM table_name WHERE id = num;
drawSQL-mysql-export-2026-01-13_comfy,5,Find the activity log entry with a certain name or email.,EASY,SELECT * FROM actions WHERE class_name = ?;,SELECT * FROM table_name WHERE col_name = num;
drawSQL-mysql-export-2026-01-13_comfy,6,What activity log entries were added or changed recently?,EASY,SELECT * FROM actions ORDER BY created_at DESC LIMIT 50;,SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;
drawSQL-mysql-export-2026-01-13_comfy,7,What are the different class name values we have?,EASY,SELECT * FROM actions LIMIT 10;,SELECT * FROM table_name LIMIT num;
drawSQL-mysql-export-2026-01-13_comfy,8,How many component groups do we have?,EASY,SELECT COUNT(*) FROM component_groups;,SELECT COUNT(*) FROM table_name;
drawSQL-mysql-export-2026-01-13_comfy,9,Who are our most active users?,MEDIUM,SELECT * FROM users ORDER BY created_at DESC LIMIT 10;,SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;
drawSQL-mysql-export-2026-01-13_comfy,10,How many activity log entries did we have last month?,MEDIUM,"SELECT COUNT(*) FROM actions
WHERE created_at >= date('now', '-1 month');","SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);"
drawSQL-mysql-export-2026-01-13_comfy,11,Break it down by type or category—how many activity log entries in each?,MEDIUM,"SELECT class_name, COUNT(*) as count FROM actions GROUP BY class_name;","SELECT col_name, COUNT(*) as count FROM table_name GROUP BY col_name;"
drawSQL-mysql-export-2026-01-13_comfy,12,Are there any activity log entries that don't have a match somewhere else?,MEDIUM,SELECT * FROM actions LIMIT 10;,SELECT * FROM table_name LIMIT num;
drawSQL-mysql-export-2026-01-13_comfy,13,"For each group, what's in the top 3?",MEDIUM,"SELECT * FROM (
  SELECT *, ROW_NUMBER() OVER (PARTITION BY group_id ORDER BY id DESC) as rn
  FROM components
) WHERE rn <= 3;","SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY col_name ORDER BY id DESC) as column_alias0 FROM table_name ) WHERE column_alias0 <= num;"
drawSQL-mysql-export-2026-01-13_comfy,14,Show me each component group along with its related details.,MEDIUM,"SELECT t.*, c.*
FROM component_groups t
LEFT JOIN components c ON c.group_id = t.id;","SELECT table_alias0.*, table_alias1.* FROM table_name table_alias0 LEFT JOIN table_name table_alias1 ON table_alias1.col_name = table_alias0.id;"
drawSQL-mysql-export-2026-01-13_comfy,15,How many component groups did we have last month?,MEDIUM,"SELECT COUNT(*) FROM component_groups
WHERE created_at >= date('now', '-1 month');","SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);"
drawSQL-mysql-export-2026-01-13_comfy,16,Break it down by type or category—how many component groups in each?,MEDIUM,"SELECT name, COUNT(*) as count FROM component_groups GROUP BY name;","SELECT col_name, COUNT(*) as count FROM table_name GROUP BY col_name;"
drawSQL-mysql-export-2026-01-13_comfy,17,I need a report that pulls together info from several different places.,HARD,"SELECT * FROM incident_components
LEFT JOIN incidents ON incident_components.incident_id = incidents.id;",SELECT * FROM table_name LEFT JOIN table_name ON table_name.col_name = table_name.id;
drawSQL-mysql-export-2026-01-13_comfy,18,"Can you do a multi-step analysis: group things, filter, then rank the results?",HARD,"WITH grouped AS (
  SELECT class_name, COUNT(*) as cnt FROM actions GROUP BY class_name
)
SELECT * FROM grouped WHERE cnt > 1 ORDER BY cnt DESC;","WITH grouped AS ( SELECT col_name, COUNT(*) as cnt FROM table_name GROUP BY col_name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;"
drawSQL-mysql-export-2026-01-13_comfy,19,Who or what is the best in each group?,HARD,"SELECT * FROM (
  SELECT *, ROW_NUMBER() OVER (PARTITION BY class_name ORDER BY id DESC) as rn
  FROM actions
) WHERE rn = 1;","SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY col_name ORDER BY id DESC) as column_alias0 FROM table_name ) WHERE column_alias0 = num;"
drawSQL-mysql-export-2026-01-13_comfy,20,Which ones are above average compared to others in their group?,HARD,"SELECT * FROM meta t1
WHERE value > (
  SELECT AVG(value) FROM meta t2 WHERE t2.meta_type = t1.meta_type
);",SELECT * FROM table_name table_alias0 WHERE value > ( SELECT AVG(value) FROM table_name table_alias1 WHERE table_alias1.col_name = table_alias0.col_name );
drawSQL-mysql-export-2026-01-13_koel,1,How many people signed up last month?,EASY,"SELECT COUNT(*) FROM users
WHERE created_at >= date('now', '-1 month');","SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);"
drawSQL-mysql-export-2026-01-13_koel,2,How many users do we have?,EASY,SELECT COUNT(*) FROM users;,SELECT COUNT(*) FROM table_name;
drawSQL-mysql-export-2026-01-13_koel,3,Show me all of our users.,EASY,SELECT * FROM users;,SELECT * FROM table_name;
drawSQL-mysql-export-2026-01-13_koel,4,Can you look up a specific user?,EASY,SELECT * FROM users WHERE id = ?;,SELECT * FROM table_name WHERE id = num;
drawSQL-mysql-export-2026-01-13_koel,5,Find the user with a certain name or email.,EASY,SELECT * FROM users WHERE name = ?;,SELECT * FROM table_name WHERE col_name = num;
drawSQL-mysql-export-2026-01-13_koel,6,What users were added or changed recently?,EASY,SELECT * FROM users ORDER BY created_at DESC LIMIT 50;,SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;
drawSQL-mysql-export-2026-01-13_koel,7,What are the different name values we have?,EASY,SELECT * FROM users LIMIT 10;,SELECT * FROM table_name LIMIT num;
drawSQL-mysql-export-2026-01-13_koel,8,How many password resets do we have?,EASY,SELECT COUNT(*) FROM users;,SELECT COUNT(*) FROM table_name;
drawSQL-mysql-export-2026-01-13_koel,9,Who are our most active users?,MEDIUM,SELECT * FROM users ORDER BY created_at DESC LIMIT 10;,SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;
drawSQL-mysql-export-2026-01-13_koel,10,Show me each user along with its related details.,MEDIUM,"SELECT t.*, c.*
FROM users t
LEFT JOIN playlists c ON c.user_id = t.id;","SELECT table_alias0.*, table_alias1.* FROM table_name table_alias0 LEFT JOIN table_name table_alias1 ON table_alias1.col_name = table_alias0.id;"
drawSQL-mysql-export-2026-01-13_koel,11,How many users did we have last month?,MEDIUM,"SELECT COUNT(*) FROM users
WHERE created_at >= date('now', '-1 month');","SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);"
drawSQL-mysql-export-2026-01-13_koel,12,Break it down by type or category—how many users in each?,MEDIUM,"SELECT name, COUNT(*) as count FROM users GROUP BY name;","SELECT col_name, COUNT(*) as count FROM table_name GROUP BY col_name;"
drawSQL-mysql-export-2026-01-13_koel,13,Are there any users that don't have a match somewhere else?,MEDIUM,"SELECT * FROM users
WHERE id NOT IN (SELECT DISTINCT user_id FROM playlists WHERE user_id IS NOT NULL);",SELECT * FROM table_name WHERE id NOT IN (SELECT DISTINCT col_name FROM table_name WHERE col_name IS NOT NULL);
drawSQL-mysql-export-2026-01-13_koel,14,"For each group, what's in the top 3?",MEDIUM,SELECT * FROM users LIMIT 10;,SELECT * FROM table_name LIMIT num;
drawSQL-mysql-export-2026-01-13_koel,15,How many password resets did we have last month?,MEDIUM,"SELECT COUNT(*) FROM users
WHERE created_at >= date('now', '-1 month');","SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);"
drawSQL-mysql-export-2026-01-13_koel,16,Break it down by type or category—how many password resets in each?,MEDIUM,"SELECT name, COUNT(*) as count FROM users GROUP BY name;","SELECT col_name, COUNT(*) as count FROM table_name GROUP BY col_name;"
drawSQL-mysql-export-2026-01-13_koel,17,I need a report that pulls together info from several different places.,HARD,"SELECT * FROM playlists
LEFT JOIN playlist_folders ON playlists.folder_id = playlist_folders.id;",SELECT * FROM table_name LEFT JOIN table_name ON table_name.col_name = table_name.id;
drawSQL-mysql-export-2026-01-13_koel,18,"Can you do a multi-step analysis: group things, filter, then rank the results?",HARD,"WITH grouped AS (
  SELECT name, COUNT(*) as cnt FROM users GROUP BY name
)
SELECT * FROM grouped WHERE cnt > 1 ORDER BY cnt DESC;","WITH grouped AS ( SELECT col_name, COUNT(*) as cnt FROM table_name GROUP BY col_name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;"
drawSQL-mysql-export-2026-01-13_koel,19,Who or what is the best in each group?,HARD,"SELECT * FROM (
  SELECT *, ROW_NUMBER() OVER (PARTITION BY name ORDER BY id DESC) as rn
  FROM users
) WHERE rn = 1;","SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY col_name ORDER BY id DESC) as column_alias0 FROM table_name ) WHERE column_alias0 = num;"
drawSQL-mysql-export-2026-01-13_koel,20,Which ones are above average compared to others in their group?,HARD,"SELECT * FROM settings
WHERE value > (SELECT AVG(value) FROM settings);",SELECT * FROM table_name WHERE value > (SELECT AVG(value) FROM table_name);
drawSQL-mysql-export-2026-01-13_laravelspark,1,How many people signed up last month?,EASY,"SELECT COUNT(*) FROM users
WHERE created_at >= date('now', '-1 month');","SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);"
drawSQL-mysql-export-2026-01-13_laravelspark,2,How many people are on each team?,EASY,SELECT * FROM announcements LIMIT 10;,SELECT * FROM table_name LIMIT num;
drawSQL-mysql-export-2026-01-13_laravelspark,3,Which invitations haven't been accepted yet?,EASY,SELECT * FROM announcements LIMIT 10;,SELECT * FROM table_name LIMIT num;
drawSQL-mysql-export-2026-01-13_laravelspark,4,How many announcements do we have?,EASY,SELECT COUNT(*) FROM announcements;,SELECT COUNT(*) FROM table_name;
drawSQL-mysql-export-2026-01-13_laravelspark,5,Show me all of our announcements.,EASY,SELECT * FROM announcements;,SELECT * FROM table_name;
drawSQL-mysql-export-2026-01-13_laravelspark,6,Can you look up a specific announcement?,EASY,SELECT * FROM announcements WHERE id = ?;,SELECT * FROM table_name WHERE id = num;
drawSQL-mysql-export-2026-01-13_laravelspark,7,What announcements were added or changed recently?,EASY,SELECT * FROM announcements ORDER BY created_at DESC LIMIT 50;,SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;
drawSQL-mysql-export-2026-01-13_laravelspark,8,What are the different user id values we have?,EASY,SELECT * FROM announcements LIMIT 10;,SELECT * FROM table_name LIMIT num;
drawSQL-mysql-export-2026-01-13_laravelspark,9,Who are our most active users?,MEDIUM,SELECT * FROM users ORDER BY created_at DESC LIMIT 10;,SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;
drawSQL-mysql-export-2026-01-13_laravelspark,10,How many announcements did we have last month?,MEDIUM,"SELECT COUNT(*) FROM announcements
WHERE created_at >= date('now', '-1 month');","SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);"
drawSQL-mysql-export-2026-01-13_laravelspark,11,Break it down by type or category—how many announcements in each?,MEDIUM,"SELECT user_id, COUNT(*) as count FROM announcements GROUP BY user_id;","SELECT col_name, COUNT(*) as count FROM table_name GROUP BY col_name;"
drawSQL-mysql-export-2026-01-13_laravelspark,12,Are there any announcements that don't have a match somewhere else?,MEDIUM,SELECT * FROM announcements LIMIT 10;,SELECT * FROM table_name LIMIT num;
drawSQL-mysql-export-2026-01-13_laravelspark,13,"For each group, what's in the top 3?",MEDIUM,SELECT * FROM announcements LIMIT 10;,SELECT * FROM table_name LIMIT num;
drawSQL-mysql-export-2026-01-13_laravelspark,14,How many api tokens did we have last month?,MEDIUM,"SELECT COUNT(*) FROM announcements
WHERE created_at >= date('now', '-1 month');","SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);"
drawSQL-mysql-export-2026-01-13_laravelspark,15,Break it down by type or category—how many api tokens in each?,MEDIUM,"SELECT user_id, COUNT(*) as count FROM announcements GROUP BY user_id;","SELECT col_name, COUNT(*) as count FROM table_name GROUP BY col_name;"
drawSQL-mysql-export-2026-01-13_laravelspark,16,Are there any api tokens that don't have a match somewhere else?,MEDIUM,SELECT * FROM announcements LIMIT 10;,SELECT * FROM table_name LIMIT num;
drawSQL-mysql-export-2026-01-13_laravelspark,17,I need a report that pulls together info from several different places.,HARD,"SELECT * FROM announcements
LEFT JOIN users ON announcements.user_id = users.id;",SELECT * FROM table_name LEFT JOIN table_name ON table_name.col_name = table_name.id;
drawSQL-mysql-export-2026-01-13_laravelspark,18,"Can you do a multi-step analysis: group things, filter, then rank the results?",HARD,"WITH grouped AS (
  SELECT user_id, COUNT(*) as cnt FROM announcements GROUP BY user_id
)
SELECT * FROM grouped WHERE cnt > 1 ORDER BY cnt DESC;","WITH grouped AS ( SELECT col_name, COUNT(*) as cnt FROM table_name GROUP BY col_name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;"
drawSQL-mysql-export-2026-01-13_laravelspark,19,Who or what is the best in each group?,HARD,"SELECT * FROM (
  SELECT *, ROW_NUMBER() OVER (PARTITION BY user_id ORDER BY id DESC) as rn
  FROM announcements
) WHERE rn = 1;","SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY col_name ORDER BY id DESC) as column_alias0 FROM table_name ) WHERE column_alias0 = num;"
drawSQL-mysql-export-2026-01-13_laravelspark,20,Which ones are above average compared to others in their group?,HARD,"SELECT * FROM invoices
WHERE total > (SELECT AVG(total) FROM invoices);",SELECT * FROM table_name WHERE col_name > (SELECT AVG(col_name) FROM table_name);
drawSQL-mysql-export-2026-01-13_permissions,1,How many permissions do we have?,EASY,SELECT COUNT(*) FROM permissions;,SELECT COUNT(*) FROM table_name;
drawSQL-mysql-export-2026-01-13_permissions,2,Show me all of our permissions.,EASY,SELECT * FROM permissions;,SELECT * FROM table_name;
drawSQL-mysql-export-2026-01-13_permissions,3,Can you look up a specific permission?,EASY,SELECT * FROM permissions WHERE id = ?;,SELECT * FROM table_name WHERE id = num;
drawSQL-mysql-export-2026-01-13_permissions,4,Find the permission with a certain name or email.,EASY,SELECT * FROM permissions WHERE name = ?;,SELECT * FROM table_name WHERE col_name = num;
drawSQL-mysql-export-2026-01-13_permissions,5,What permissions were added or changed recently?,EASY,SELECT * FROM permissions ORDER BY created_at DESC LIMIT 50;,SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;
drawSQL-mysql-export-2026-01-13_permissions,6,What are the different name values we have?,EASY,SELECT * FROM permissions LIMIT 10;,SELECT * FROM table_name LIMIT num;
drawSQL-mysql-export-2026-01-13_permissions,7,How many roles do we have?,EASY,SELECT COUNT(*) FROM permissions;,SELECT COUNT(*) FROM table_name;
drawSQL-mysql-export-2026-01-13_permissions,8,Show me all of our roles.,EASY,SELECT * FROM permissions;,SELECT * FROM table_name;
drawSQL-mysql-export-2026-01-13_permissions,9,Show me each permission along with its related details.,MEDIUM,"SELECT t.*, c.*
FROM permissions t
LEFT JOIN model_has_permissions c ON c.permission_id = t.id;","SELECT table_alias0.*, table_alias1.* FROM table_name table_alias0 LEFT JOIN table_name table_alias1 ON table_alias1.col_name = table_alias0.id;"
drawSQL-mysql-export-2026-01-13_permissions,10,How many permissions did we have last month?,MEDIUM,"SELECT COUNT(*) FROM permissions
WHERE created_at >= date('now', '-1 month');","SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);"
drawSQL-mysql-export-2026-01-13_permissions,11,Break it down by type or category—how many permissions in each?,MEDIUM,"SELECT name, COUNT(*) as count FROM permissions GROUP BY name;","SELECT col_name, COUNT(*) as count FROM table_name GROUP BY col_name;"
drawSQL-mysql-export-2026-01-13_permissions,12,Are there any permissions that don't have a match somewhere else?,MEDIUM,"SELECT * FROM permissions
WHERE id NOT IN (SELECT DISTINCT permission_id FROM model_has_permissions WHERE permission_id IS NOT NULL);",SELECT * FROM table_name WHERE id NOT IN (SELECT DISTINCT col_name FROM table_name WHERE col_name IS NOT NULL);
drawSQL-mysql-export-2026-01-13_permissions,13,"For each group, what's in the top 3?",MEDIUM,"SELECT * FROM (
  SELECT *, ROW_NUMBER() OVER (PARTITION BY model_type ORDER BY id DESC) as rn
  FROM model_has_permissions
) WHERE rn <= 3;","SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY col_name ORDER BY id DESC) as column_alias0 FROM table_name ) WHERE column_alias0 <= num;"
drawSQL-mysql-export-2026-01-13_permissions,14,Show me each role along with its related details.,MEDIUM,"SELECT t.*, c.*
FROM permissions t
LEFT JOIN model_has_permissions c ON c.permission_id = t.id;","SELECT table_alias0.*, table_alias1.* FROM table_name table_alias0 LEFT JOIN table_name table_alias1 ON table_alias1.col_name = table_alias0.id;"
drawSQL-mysql-export-2026-01-13_permissions,15,How many roles did we have last month?,MEDIUM,"SELECT COUNT(*) FROM permissions
WHERE created_at >= date('now', '-1 month');","SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);"
drawSQL-mysql-export-2026-01-13_permissions,16,Break it down by type or category—how many roles in each?,MEDIUM,"SELECT name, COUNT(*) as count FROM permissions GROUP BY name;","SELECT col_name, COUNT(*) as count FROM table_name GROUP BY col_name;"
drawSQL-mysql-export-2026-01-13_permissions,17,I need a report that pulls together info from several different places.,HARD,"SELECT * FROM model_has_roles
LEFT JOIN roles ON model_has_roles.role_id = roles.id;",SELECT * FROM table_name LEFT JOIN table_name ON table_name.col_name = table_name.id;
drawSQL-mysql-export-2026-01-13_permissions,18,"Can you do a multi-step analysis: group things, filter, then rank the results?",HARD,"WITH grouped AS (
  SELECT name, COUNT(*) as cnt FROM permissions GROUP BY name
)
SELECT * FROM grouped WHERE cnt > 1 ORDER BY cnt DESC;","WITH grouped AS ( SELECT col_name, COUNT(*) as cnt FROM table_name GROUP BY col_name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;"
drawSQL-mysql-export-2026-01-13_permissions,19,Who or what is the best in each group?,HARD,"SELECT * FROM (
  SELECT *, ROW_NUMBER() OVER (PARTITION BY name ORDER BY id DESC) as rn
  FROM permissions
) WHERE rn = 1;","SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY col_name ORDER BY id DESC) as column_alias0 FROM table_name ) WHERE column_alias0 = num;"
drawSQL-mysql-export-2026-01-13_permissions,20,Which ones are above average compared to others in their group?,HARD,SELECT * FROM permissions LIMIT 10;,SELECT * FROM table_name LIMIT num;
drawSQL-mysql-export-2026-01-13_refinery,1,How many people signed up last month?,EASY,SELECT COUNT(*) FROM users;,SELECT COUNT(*) FROM table_name;
drawSQL-mysql-export-2026-01-13_refinery,2,How many ticketit statuses do we have?,EASY,SELECT COUNT(*) FROM ticketit_statuses;,SELECT COUNT(*) FROM table_name;
drawSQL-mysql-export-2026-01-13_refinery,3,Show me all of our ticketit statuses.,EASY,SELECT * FROM ticketit_statuses;,SELECT * FROM table_name;
drawSQL-mysql-export-2026-01-13_refinery,4,Can you look up a specific ticketit status?,EASY,SELECT * FROM ticketit_statuses WHERE id = ?;,SELECT * FROM table_name WHERE id = num;
drawSQL-mysql-export-2026-01-13_refinery,5,Find the ticketit status with a certain name or email.,EASY,SELECT * FROM ticketit_statuses WHERE name = ?;,SELECT * FROM table_name WHERE col_name = num;
drawSQL-mysql-export-2026-01-13_refinery,6,What are the different name values we have?,EASY,SELECT * FROM ticketit_statuses LIMIT 10;,SELECT * FROM table_name LIMIT num;
drawSQL-mysql-export-2026-01-13_refinery,7,How many ticketit priorities do we have?,EASY,SELECT COUNT(*) FROM ticketit_statuses;,SELECT COUNT(*) FROM table_name;
drawSQL-mysql-export-2026-01-13_refinery,8,Show me all of our ticketit priorities.,EASY,SELECT * FROM ticketit_statuses;,SELECT * FROM table_name;
drawSQL-mysql-export-2026-01-13_refinery,9,Who are our most active users?,MEDIUM,SELECT * FROM users ORDER BY created_at DESC LIMIT 10;,SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;
drawSQL-mysql-export-2026-01-13_refinery,10,Show me each ticketit status along with its related details.,MEDIUM,"SELECT t.*, c.*
FROM ticketit_statuses t
LEFT JOIN ticketit c ON c.status_id = t.id;","SELECT table_alias0.*, table_alias1.* FROM table_name table_alias0 LEFT JOIN table_name table_alias1 ON table_alias1.col_name = table_alias0.id;"
drawSQL-mysql-export-2026-01-13_refinery,11,Break it down by type or category—how many ticketit statuses in each?,MEDIUM,"SELECT name, COUNT(*) as count FROM ticketit_statuses GROUP BY name;","SELECT col_name, COUNT(*) as count FROM table_name GROUP BY col_name;"
drawSQL-mysql-export-2026-01-13_refinery,12,Are there any ticketit statuses that don't have a match somewhere else?,MEDIUM,"SELECT * FROM ticketit_statuses
WHERE id NOT IN (SELECT DISTINCT status_id FROM ticketit WHERE status_id IS NOT NULL);",SELECT * FROM table_name WHERE id NOT IN (SELECT DISTINCT col_name FROM table_name WHERE col_name IS NOT NULL);
drawSQL-mysql-export-2026-01-13_refinery,13,"For each group, what's in the top 3?",MEDIUM,SELECT * FROM ticketit_statuses LIMIT 10;,SELECT * FROM table_name LIMIT num;
drawSQL-mysql-export-2026-01-13_refinery,14,Show me each ticketit priority along with its related details.,MEDIUM,"SELECT t.*, c.*
FROM ticketit_statuses t
LEFT JOIN ticketit c ON c.status_id = t.id;","SELECT table_alias0.*, table_alias1.* FROM table_name table_alias0 LEFT JOIN table_name table_alias1 ON table_alias1.col_name = table_alias0.id;"
