database_name	id	difficulty_tier	question	sql_query	template	generalized_template
drawSQL-mysql-export-2026-01-13_cachet	12	MEDIUM	How many activity log entries were added since created_at=date?	SELECT COUNT(*) FROM actions WHERE created_at >= date('now', '-1 month');	SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);	SELECT COUNT(*) FROM variable WHERE variable >= DATE(variable, variable);
drawSQL-mysql-export-2026-01-13_cachet	13	MEDIUM	Break down the activity log entries by class_name — how many in each?	SELECT class_name, COUNT(*) as count FROM actions GROUP BY class_name;	SELECT col_name, COUNT(*) as count FROM table_name GROUP BY col_name;	SELECT variable, COUNT(*) AS COUNT FROM variable GROUP BY variable;
drawSQL-mysql-export-2026-01-13_cachet	14	MEDIUM	Are there any activity log entries that don't have a match in related tables?	SELECT * FROM actions LIMIT num;	SELECT * FROM table_name LIMIT num;	SELECT * FROM variable LIMIT variable;
drawSQL-mysql-export-2026-01-13_cachet	15	MEDIUM	For each group, what are the top 3 activity log entries?	SELECT * FROM actions ORDER BY id DESC LIMIT num;	SELECT * FROM table_name ORDER BY id DESC LIMIT num;	SELECT * FROM variable ORDER BY variable DESC LIMIT variable;
drawSQL-mysql-export-2026-01-13_cachet	16	MEDIUM	How did the number of activity log entries change month over month?	SELECT strftime('%Y-%m', created_at) as period, COUNT(*) as count FROM actions WHERE created_at >= date('now', '-2 months') GROUP BY period ORDER BY period;	SELECT strftime(string, col_name) as column_alias0, column_alias1(*) as column_alias1 FROM table_name WHERE col_name >= date(string, string) GROUP BY column_alias0 ORDER BY column_alias0;	SELECT STRFTIME(variable, variable) AS variable, variable(*) AS variable FROM variable WHERE variable >= DATE(variable, variable) GROUP BY variable ORDER BY variable;
drawSQL-mysql-export-2026-01-13_cachet	17	HARD	Pull together a report on activity log entries joining all related tables.	SELECT * FROM incident_components LEFT JOIN incidents ON incident_components.incident_id = incidents.id;	SELECT * FROM table_name LEFT JOIN table_name ON table_name.col_name = table_name.id;	SELECT * FROM variable LEFT JOIN variable ON variable = variable;
drawSQL-mysql-export-2026-01-13_cachet	18	HARD	Who or what is the best in each group of activity log entries?	SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY class_name ORDER BY id DESC) as rn FROM actions ) WHERE rn = num;	SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY col_name ORDER BY id DESC) as column_alias0 FROM table_name ) WHERE column_alias0 = num;	SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY variable ORDER BY variable DESC) AS variable FROM variable ) WHERE variable = variable;
drawSQL-mysql-export-2026-01-13_cachet	19	HARD	Which activity log entries are above average compared to others in their group?	SELECT strftime('%Y-%m', created_at) as period, COUNT(*) as count FROM actions WHERE created_at >= date('now', '-2 months') GROUP BY period ORDER BY period;	SELECT strftime(string, col_name) as column_alias0, column_alias1(*) as column_alias1 FROM table_name WHERE col_name >= date(string, string) GROUP BY column_alias0 ORDER BY column_alias0;	SELECT STRFTIME(variable, variable) AS variable, variable(*) AS variable FROM variable WHERE variable >= DATE(variable, variable) GROUP BY variable ORDER BY variable;
drawSQL-mysql-export-2026-01-13_cachet	20	HARD	Do a multi-step analysis: group activity log entries, filter, then rank the results.	WITH grouped AS ( SELECT class_name, COUNT(*) as cnt FROM actions GROUP BY class_name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;	WITH grouped AS ( SELECT col_name, COUNT(*) as cnt FROM table_name GROUP BY col_name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;	WITH variable AS ( SELECT variable, COUNT(*) AS variable FROM variable GROUP BY variable ) SELECT * FROM variable WHERE variable > variable ORDER BY variable DESC;
drawSQL-mysql-export-2026-01-13_cachet	21	HARD	Show the running total of activity log entries over time based on created_at.	SELECT *, COUNT(*) OVER (ORDER BY created_at) as running_count FROM actions ORDER BY created_at;	SELECT *, COUNT(*) OVER (ORDER BY col_name) as column_alias0 FROM table_name ORDER BY col_name;	SELECT *, COUNT(*) OVER (ORDER BY variable) AS variable FROM variable ORDER BY variable;
drawSQL-mysql-export-2026-01-13_cachet	22	HARD	Find activity log entries that exist in one table but not in a related table.	SELECT * FROM actions LIMIT num;	SELECT * FROM table_name LIMIT num;	SELECT * FROM variable LIMIT variable;
drawSQL-mysql-export-2026-01-13_cachet	23	HARD	Combine data from actions, component_groups, and components in a single report.	SELECT * FROM actions LEFT JOIN component_groups ON component_groups.id = actions.group_id LEFT JOIN components ON components.id = actions.taggable_id;	SELECT * FROM table_name LEFT JOIN table_name ON table_name.id = table_name.col_name LEFT JOIN table_name ON table_name.id = table_name.col_name;	SELECT * FROM variable LEFT JOIN variable ON variable = variable LEFT JOIN variable ON variable = variable;
drawSQL-mysql-export-2026-01-13_cachet	24	HARD	Rank all activity log entries within their groups and show the top performers.	SELECT *, ROW_NUMBER() OVER (ORDER BY id DESC) as rn FROM actions;	SELECT *, ROW_NUMBER() OVER (ORDER BY id DESC) as column_alias0 FROM table_name;	SELECT *, ROW_NUMBER() OVER (ORDER BY variable DESC) AS variable FROM variable;
drawSQL-mysql-export-2026-01-13_comfy	25	EASY	How many users signed up since created_at=date?	SELECT COUNT(*) FROM users WHERE created_at >= date('now', '-1 month');	SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);	SELECT COUNT(*) FROM variable WHERE variable >= DATE(variable, variable);
drawSQL-mysql-export-2026-01-13_comfy	26	EASY	How many activity log entries do we have in total?	SELECT COUNT(*) FROM actions;	SELECT COUNT(*) FROM table_name;	SELECT COUNT(*) FROM variable;
drawSQL-mysql-export-2026-01-13_comfy	27	EASY	Show me all of our activity log entries.	SELECT * FROM actions;	SELECT * FROM table_name;	SELECT * FROM variable;
drawSQL-mysql-export-2026-01-13_comfy	28	EASY	Can you look up the activity log entry with id=num?	SELECT * FROM actions WHERE id = num;	SELECT * FROM table_name WHERE id = num;	SELECT * FROM variable WHERE variable = variable;
drawSQL-mysql-export-2026-01-13_comfy	29	EASY	Find the activity log entry where class_name=string.	SELECT * FROM actions WHERE class_name = string;	SELECT * FROM table_name WHERE col_name = string;	SELECT * FROM variable WHERE variable = variable;
drawSQL-mysql-export-2026-01-13_comfy	30	EASY	How many activity log entries were created since created_at=date?	SELECT COUNT(*) FROM actions WHERE created_at >= date('now', '-1 month');	SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);	SELECT COUNT(*) FROM variable WHERE variable >= DATE(variable, variable);
drawSQL-mysql-export-2026-01-13_comfy	31	EASY	What are the most recent activity log entries ordered by class_name?	SELECT * FROM actions ORDER BY created_at DESC LIMIT num;	SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;	SELECT * FROM variable ORDER BY variable DESC LIMIT variable;
drawSQL-mysql-export-2026-01-13_comfy	32	EASY	How many component groups do we have in total?	SELECT COUNT(*) FROM component_groups;	SELECT COUNT(*) FROM table_name;	SELECT COUNT(*) FROM variable;
drawSQL-mysql-export-2026-01-13_comfy	33	MEDIUM	Who are the most active users based on activity count?	SELECT * FROM users ORDER BY created_at DESC LIMIT 10;	SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;	SELECT * FROM variable ORDER BY variable DESC LIMIT variable;
drawSQL-mysql-export-2026-01-13_comfy	34	MEDIUM	How many activity log entries were added since created_at=date?	SELECT COUNT(*) FROM actions WHERE created_at >= date('now', '-1 month');	SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);	SELECT COUNT(*) FROM variable WHERE variable >= DATE(variable, variable);
drawSQL-mysql-export-2026-01-13_comfy	35	MEDIUM	Break down the activity log entries by class_name — how many in each?	SELECT class_name, COUNT(*) as count FROM actions GROUP BY class_name;	SELECT col_name, COUNT(*) as count FROM table_name GROUP BY col_name;	SELECT variable, COUNT(*) AS COUNT FROM variable GROUP BY variable;
drawSQL-mysql-export-2026-01-13_comfy	36	MEDIUM	Are there any activity log entries that don't have a match in related tables?	SELECT * FROM actions LIMIT num;	SELECT * FROM table_name LIMIT num;	SELECT * FROM variable LIMIT variable;
drawSQL-mysql-export-2026-01-13_comfy	37	MEDIUM	For each group, what are the top 3 activity log entries?	SELECT * FROM actions ORDER BY id DESC LIMIT num;	SELECT * FROM table_name ORDER BY id DESC LIMIT num;	SELECT * FROM variable ORDER BY variable DESC LIMIT variable;
drawSQL-mysql-export-2026-01-13_comfy	38	MEDIUM	How did the number of activity log entries change month over month?	SELECT strftime('%Y-%m', created_at) as period, COUNT(*) as count FROM actions WHERE created_at >= date('now', '-2 months') GROUP BY period ORDER BY period;	SELECT strftime(string, col_name) as column_alias0, column_alias1(*) as column_alias1 FROM table_name WHERE col_name >= date(string, string) GROUP BY column_alias0 ORDER BY column_alias0;	SELECT STRFTIME(variable, variable) AS variable, variable(*) AS variable FROM variable WHERE variable >= DATE(variable, variable) GROUP BY variable ORDER BY variable;
drawSQL-mysql-export-2026-01-13_comfy	39	MEDIUM	Which activity log entries have duplicate or repeated values?	WITH grouped AS ( SELECT class_name, COUNT(*) as cnt FROM actions GROUP BY class_name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;	WITH grouped AS ( SELECT col_name, COUNT(*) as cnt FROM table_name GROUP BY col_name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;	WITH variable AS ( SELECT variable, COUNT(*) AS variable FROM variable GROUP BY variable ) SELECT * FROM variable WHERE variable > variable ORDER BY variable DESC;
drawSQL-mysql-export-2026-01-13_comfy	40	MEDIUM	Show me each component group along with its related details from other tables.	SELECT t.*, c.* FROM component_groups t LEFT JOIN components c ON c.group_id = t.id;	SELECT table_alias0.*, table_alias1.* FROM table_name table_alias0 LEFT JOIN table_name table_alias1 ON table_alias1.col_name = table_alias0.id;	SELECT variable.*, variable.* FROM variable variable LEFT JOIN variable variable ON variable = variable;
drawSQL-mysql-export-2026-01-13_comfy	41	HARD	Pull together a report on activity log entries joining all related tables.	SELECT * FROM incident_components LEFT JOIN incidents ON incident_components.incident_id = incidents.id;	SELECT * FROM table_name LEFT JOIN table_name ON table_name.col_name = table_name.id;	SELECT * FROM variable LEFT JOIN variable ON variable = variable;
drawSQL-mysql-export-2026-01-13_comfy	42	HARD	Who or what is the best in each group of activity log entries?	SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY class_name ORDER BY id DESC) as rn FROM actions ) WHERE rn = num;	SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY col_name ORDER BY id DESC) as column_alias0 FROM table_name ) WHERE column_alias0 = num;	SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY variable ORDER BY variable DESC) AS variable FROM variable ) WHERE variable = variable;
drawSQL-mysql-export-2026-01-13_comfy	43	HARD	Which activity log entries are above average compared to others in their group?	SELECT strftime('%Y-%m', created_at) as period, COUNT(*) as count FROM actions WHERE created_at >= date('now', '-2 months') GROUP BY period ORDER BY period;	SELECT strftime(string, col_name) as column_alias0, column_alias1(*) as column_alias1 FROM table_name WHERE col_name >= date(string, string) GROUP BY column_alias0 ORDER BY column_alias0;	SELECT STRFTIME(variable, variable) AS variable, variable(*) AS variable FROM variable WHERE variable >= DATE(variable, variable) GROUP BY variable ORDER BY variable;
drawSQL-mysql-export-2026-01-13_comfy	44	HARD	Do a multi-step analysis: group activity log entries, filter, then rank the results.	WITH grouped AS ( SELECT class_name, COUNT(*) as cnt FROM actions GROUP BY class_name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;	WITH grouped AS ( SELECT col_name, COUNT(*) as cnt FROM table_name GROUP BY col_name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;	WITH variable AS ( SELECT variable, COUNT(*) AS variable FROM variable GROUP BY variable ) SELECT * FROM variable WHERE variable > variable ORDER BY variable DESC;
drawSQL-mysql-export-2026-01-13_comfy	45	HARD	Show the running total of activity log entries over time based on created_at.	SELECT *, COUNT(*) OVER (ORDER BY created_at) as running_count FROM actions ORDER BY created_at;	SELECT *, COUNT(*) OVER (ORDER BY col_name) as column_alias0 FROM table_name ORDER BY col_name;	SELECT *, COUNT(*) OVER (ORDER BY variable) AS variable FROM variable ORDER BY variable;
drawSQL-mysql-export-2026-01-13_comfy	46	HARD	Find activity log entries that exist in one table but not in a related table.	SELECT * FROM actions LIMIT num;	SELECT * FROM table_name LIMIT num;	SELECT * FROM variable LIMIT variable;
drawSQL-mysql-export-2026-01-13_comfy	47	HARD	Combine data from actions, component_groups, and components in a single report.	SELECT * FROM actions LEFT JOIN component_groups ON component_groups.id = actions.group_id LEFT JOIN components ON components.id = actions.taggable_id;	SELECT * FROM table_name LEFT JOIN table_name ON table_name.id = table_name.col_name LEFT JOIN table_name ON table_name.id = table_name.col_name;	SELECT * FROM variable LEFT JOIN variable ON variable = variable LEFT JOIN variable ON variable = variable;
drawSQL-mysql-export-2026-01-13_comfy	48	HARD	Rank all activity log entries within their groups and show the top performers.	SELECT *, ROW_NUMBER() OVER (ORDER BY id DESC) as rn FROM actions;	SELECT *, ROW_NUMBER() OVER (ORDER BY id DESC) as column_alias0 FROM table_name;	SELECT *, ROW_NUMBER() OVER (ORDER BY variable DESC) AS variable FROM variable;
drawSQL-mysql-export-2026-01-13_koel	49	EASY	How many users signed up since created_at=date?	SELECT COUNT(*) FROM users WHERE created_at >= date('now', '-1 month');	SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);	SELECT COUNT(*) FROM variable WHERE variable >= DATE(variable, variable);
drawSQL-mysql-export-2026-01-13_koel	50	EASY	How many users do we have in total?	SELECT COUNT(*) FROM users;	SELECT COUNT(*) FROM table_name;	SELECT COUNT(*) FROM variable;
drawSQL-mysql-export-2026-01-13_koel	51	EASY	Show me all of our users.	SELECT * FROM users;	SELECT * FROM table_name;	SELECT * FROM variable;
drawSQL-mysql-export-2026-01-13_koel	52	EASY	Can you look up the user with id=num?	SELECT * FROM users WHERE id = num;	SELECT * FROM table_name WHERE id = num;	SELECT * FROM variable WHERE variable = variable;
drawSQL-mysql-export-2026-01-13_koel	53	EASY	Find the user where name=string.	SELECT * FROM users WHERE name = string;	SELECT * FROM table_name WHERE col_name = string;	SELECT * FROM variable WHERE variable = variable;
drawSQL-mysql-export-2026-01-13_koel	54	EASY	How many users were created since created_at=date?	SELECT COUNT(*) FROM users WHERE created_at >= date('now', '-1 month');	SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);	SELECT COUNT(*) FROM variable WHERE variable >= DATE(variable, variable);
drawSQL-mysql-export-2026-01-13_koel	55	EASY	What are the most recent users ordered by name?	SELECT * FROM users ORDER BY created_at DESC LIMIT num;	SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;	SELECT * FROM variable ORDER BY variable DESC LIMIT variable;
drawSQL-mysql-export-2026-01-13_koel	56	EASY	How many password resets do we have in total?	SELECT COUNT(*) FROM password_resets;	SELECT COUNT(*) FROM table_name;	SELECT COUNT(*) FROM variable;
drawSQL-mysql-export-2026-01-13_koel	57	MEDIUM	Who are the most active users based on activity count?	SELECT * FROM users ORDER BY created_at DESC LIMIT 10;	SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;	SELECT * FROM variable ORDER BY variable DESC LIMIT variable;
drawSQL-mysql-export-2026-01-13_koel	58	MEDIUM	Show me each user along with its related details from other tables.	SELECT t.*, c.* FROM users t LEFT JOIN playlists c ON c.user_id = t.id;	SELECT table_alias0.*, table_alias1.* FROM table_name table_alias0 LEFT JOIN table_name table_alias1 ON table_alias1.col_name = table_alias0.id;	SELECT variable.*, variable.* FROM variable variable LEFT JOIN variable variable ON variable = variable;
drawSQL-mysql-export-2026-01-13_koel	59	MEDIUM	How many users were added since created_at=date?	SELECT COUNT(*) FROM users WHERE created_at >= date('now', '-1 month');	SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);	SELECT COUNT(*) FROM variable WHERE variable >= DATE(variable, variable);
drawSQL-mysql-export-2026-01-13_koel	60	MEDIUM	Break down the users by name — how many in each?	SELECT COUNT(*) FROM users WHERE created_at >= date('now', '-1 month');	SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);	SELECT COUNT(*) FROM variable WHERE variable >= DATE(variable, variable);
drawSQL-mysql-export-2026-01-13_koel	61	MEDIUM	Are there any users that don't have a match in related tables?	SELECT * FROM users WHERE id NOT IN (SELECT DISTINCT user_id FROM playlists WHERE user_id IS NOT NULL);	SELECT * FROM table_name WHERE id NOT IN (SELECT DISTINCT col_name FROM table_name WHERE col_name IS NOT NULL);	SELECT * FROM variable WHERE variable NOT IN (SELECT DISTINCT variable FROM variable WHERE variable IS NOT NULL);
drawSQL-mysql-export-2026-01-13_koel	62	MEDIUM	For each group, what are the top 3 users?	SELECT * FROM users ORDER BY id DESC LIMIT num;	SELECT * FROM table_name ORDER BY id DESC LIMIT num;	SELECT * FROM variable ORDER BY variable DESC LIMIT variable;
drawSQL-mysql-export-2026-01-13_koel	63	MEDIUM	How did the number of users change month over month?	SELECT strftime('%Y-%m', created_at) as period, COUNT(*) as count FROM users WHERE created_at >= date('now', '-2 months') GROUP BY period ORDER BY period;	SELECT strftime(string, col_name) as column_alias0, column_alias1(*) as column_alias1 FROM table_name WHERE col_name >= date(string, string) GROUP BY column_alias0 ORDER BY column_alias0;	SELECT STRFTIME(variable, variable) AS variable, variable(*) AS variable FROM variable WHERE variable >= DATE(variable, variable) GROUP BY variable ORDER BY variable;
drawSQL-mysql-export-2026-01-13_koel	64	MEDIUM	Which users have duplicate or repeated values?	WITH grouped AS ( SELECT name, COUNT(*) as cnt FROM users GROUP BY name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;	WITH grouped AS ( SELECT col_name, COUNT(*) as cnt FROM table_name GROUP BY col_name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;	WITH variable AS ( SELECT variable, COUNT(*) AS variable FROM variable GROUP BY variable ) SELECT * FROM variable WHERE variable > variable ORDER BY variable DESC;
drawSQL-mysql-export-2026-01-13_koel	65	HARD	Pull together a report on users joining all related tables.	SELECT * FROM playlists LEFT JOIN playlist_folders ON playlists.folder_id = playlist_folders.id;	SELECT * FROM table_name LEFT JOIN table_name ON table_name.col_name = table_name.id;	SELECT * FROM variable LEFT JOIN variable ON variable = variable;
drawSQL-mysql-export-2026-01-13_koel	66	HARD	Who or what is the best in each group of users?	SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY name ORDER BY id DESC) as rn FROM users ) WHERE rn = num;	SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY col_name ORDER BY id DESC) as column_alias0 FROM table_name ) WHERE column_alias0 = num;	SELECT * FROM ( SELECT *, ROW_NUMBER() OVER (PARTITION BY variable ORDER BY variable DESC) AS variable FROM variable ) WHERE variable = variable;
drawSQL-mysql-export-2026-01-13_koel	67	HARD	Which users are above average compared to others in their group?	SELECT strftime('%Y-%m', created_at) as period, COUNT(*) as count FROM users WHERE created_at >= date('now', '-2 months') GROUP BY period ORDER BY period;	SELECT strftime(string, col_name) as column_alias0, column_alias1(*) as column_alias1 FROM table_name WHERE col_name >= date(string, string) GROUP BY column_alias0 ORDER BY column_alias0;	SELECT STRFTIME(variable, variable) AS variable, variable(*) AS variable FROM variable WHERE variable >= DATE(variable, variable) GROUP BY variable ORDER BY variable;
drawSQL-mysql-export-2026-01-13_koel	68	HARD	Do a multi-step analysis: group users, filter, then rank the results.	WITH grouped AS ( SELECT name, COUNT(*) as cnt FROM users GROUP BY name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;	WITH grouped AS ( SELECT col_name, COUNT(*) as cnt FROM table_name GROUP BY col_name ) SELECT * FROM grouped WHERE cnt > num ORDER BY cnt DESC;	WITH variable AS ( SELECT variable, COUNT(*) AS variable FROM variable GROUP BY variable ) SELECT * FROM variable WHERE variable > variable ORDER BY variable DESC;
drawSQL-mysql-export-2026-01-13_koel	69	HARD	Show the running total of users over time based on created_at.	SELECT *, COUNT(*) OVER (ORDER BY created_at) as running_count FROM users ORDER BY created_at;	SELECT *, COUNT(*) OVER (ORDER BY col_name) as column_alias0 FROM table_name ORDER BY col_name;	SELECT *, COUNT(*) OVER (ORDER BY variable) AS variable FROM variable ORDER BY variable;
drawSQL-mysql-export-2026-01-13_koel	70	HARD	Find users that exist in one table but not in a related table.	SELECT * FROM users WHERE id NOT IN (SELECT DISTINCT user_id FROM playlists WHERE user_id IS NOT NULL);	SELECT * FROM table_name WHERE id NOT IN (SELECT DISTINCT col_name FROM table_name WHERE col_name IS NOT NULL);	SELECT * FROM variable WHERE variable NOT IN (SELECT DISTINCT variable FROM variable WHERE variable IS NOT NULL);
drawSQL-mysql-export-2026-01-13_koel	71	HARD	Combine data from users, password_resets, and artists in a single report.	SELECT * FROM users LEFT JOIN password_resets ON password_resets.id = users.user_id LEFT JOIN artists ON artists.id = users.artist_id;	SELECT * FROM table_name LEFT JOIN table_name ON table_name.id = table_name.col_name LEFT JOIN table_name ON table_name.id = table_name.col_name;	SELECT * FROM variable LEFT JOIN variable ON variable = variable LEFT JOIN variable ON variable = variable;
drawSQL-mysql-export-2026-01-13_koel	72	HARD	Rank all users within their groups and show the top performers.	SELECT *, ROW_NUMBER() OVER (ORDER BY id DESC) as rn FROM users;	SELECT *, ROW_NUMBER() OVER (ORDER BY id DESC) as column_alias0 FROM table_name;	SELECT *, ROW_NUMBER() OVER (ORDER BY variable DESC) AS variable FROM variable;
drawSQL-mysql-export-2026-01-13_laravelspark	73	EASY	How many users signed up since created_at=date?	SELECT COUNT(*) FROM users WHERE created_at >= date('now', '-1 month');	SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);	SELECT COUNT(*) FROM variable WHERE variable >= DATE(variable, variable);
drawSQL-mysql-export-2026-01-13_laravelspark	74	EASY	How many members are on each team?	SELECT team_id, COUNT(*) as member_count FROM team_subscriptions GROUP BY team_id;	SELECT col_name, COUNT(*) as member_count FROM table_name GROUP BY col_name;	SELECT variable, COUNT(*) AS variable FROM variable GROUP BY variable;
drawSQL-mysql-export-2026-01-13_laravelspark	75	EASY	How many announcements do we have in total?	SELECT COUNT(*) FROM announcements;	SELECT COUNT(*) FROM table_name;	SELECT COUNT(*) FROM variable;
drawSQL-mysql-export-2026-01-13_laravelspark	76	EASY	Show me all of our announcements.	SELECT * FROM announcements;	SELECT * FROM table_name;	SELECT * FROM variable;
drawSQL-mysql-export-2026-01-13_laravelspark	77	EASY	Can you look up the announcement with id=num?	SELECT * FROM announcements WHERE id = num;	SELECT * FROM table_name WHERE id = num;	SELECT * FROM variable WHERE variable = variable;
drawSQL-mysql-export-2026-01-13_laravelspark	78	EASY	How many announcements were created since created_at=date?	SELECT COUNT(*) FROM announcements WHERE created_at >= date('now', '-1 month');	SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);	SELECT COUNT(*) FROM variable WHERE variable >= DATE(variable, variable);
drawSQL-mysql-export-2026-01-13_laravelspark	79	EASY	What are the most recent announcements ordered by user_id?	SELECT * FROM announcements ORDER BY created_at DESC LIMIT num;	SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;	SELECT * FROM variable ORDER BY variable DESC LIMIT variable;
drawSQL-mysql-export-2026-01-13_laravelspark	80	EASY	How many api tokens do we have in total?	SELECT COUNT(*) FROM api_tokens;	SELECT COUNT(*) FROM table_name;	SELECT COUNT(*) FROM variable;
drawSQL-mysql-export-2026-01-13_laravelspark	81	MEDIUM	Who are the most active users based on activity count?	SELECT * FROM users ORDER BY created_at DESC LIMIT 10;	SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;	SELECT * FROM variable ORDER BY variable DESC LIMIT variable;
